RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_2,NOCALL_3,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6A,Q6B,Q6C,Q6D,Q6E,Q7A,Q7B,Q8,Q9A,Q9B,Q9C,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11C1_CBZ,Q11D,Q11E,Q12A,Q12B,Q13,Q14A,Q14B,Q14C,Q15,Q16,Q17,Q18,Q19A,Q19B,Q20,Q21A,Q21B,Q22A,Q22B,Q22C,Q23,Q24,Q25,Q26,Q27A,Q27B,Q27C,Q28,Q29A,Q29B,Q30,Q31,Q32A,Q32B,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q34A,Q34A1_CBZ,Q34B,Q35A,Q35B,Q35C,Q36A,Q36B,Q36C,Q37A,Q37B,Q37B1_CBZ,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q37L_CBZ,Q38A,Q38B,Q38B1_CBZ,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q38L_CBZ,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q41A,Q41B,Q41C,Q41D,Q41E,Q41F,Q41G,Q41H,Q42A,Q42B,Q42C,Q42D,Q43A,Q43B,Q43C,Q43D,Q43E,Q44A,Q44B,Q44C,Q44D,Q44E,Q45PT1,Q45PT1OTHER,Q45PT2,Q45PT2OTHER,Q45PT3,Q45PT3OTHER,Q46A,Q46B,Q46C,Q46D,Q46E,Q46F,Q46G,Q46H,Q46I,Q46J,Q46K,Q46L,Q46M,Q46N,Q46O,Q46P_CBZ,Q46Q_CBZ,Q47A,Q47B,Q47B1_CBZ,Q47C,Q48A,Q48A1_CBZ,Q48B,Q49A,Q49B,Q50A,Q50B,Q50C,Q51A,Q51B,Q52A,Q52B,Q53A,Q53B,Q53C,Q54,Q55A,Q55B,Q55C,Q56A,Q56B,Q56C,Q57A,Q57B,Q58A,Q58B,Q58C,Q59,Q60,Q61A,Q61B,Q61C,Q62,Q63A,Q63B,Q63C,Q64A,Q64B,Q65A,Q65B,Q66A,Q66B,Q67A,Q67B,Q68A,Q68B,Q69,Q70A,Q70B,Q70C,Q70D,Q71,Q72A,Q72B,Q72C,Q72D,Q72E,Q73A,Q73B,Q73C,Q73D,Q74A,Q74B,Q74C,Q74D,Q74E,Q75,Q76A,Q76B,Q76C,Q77,Q78A,Q78B,Q78C,Q78C1,Q78C2_CBZ,Q78D,Q78E,Q78F,Q79A_CBZ,Q79B_CBZ,Q80_CBZ,Q81A_CBZ,Q81B_CBZ,Q81C_CBZ,Q81D_CBZ,Q81E_CBZ,Q81F_CBZ,Q81G_CBZ,Q81H_CBZ,Q82A_CBZ,Q82B_CBZ,Q82C_CBZ,Q83A_CBZ,Q83B_CBZ,Q83C_CBZ,Q83COTHER_CBZ,Q84A,Q84AOTHER,Q84B,Q84C,Q84D,Q84E,Q85A,Q85B,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q89A,Q89B,Q89BOTHER,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q91A,Q91B,Q91C,Q92A,Q92B,Q93A,Q93B,Q93BOTHER,Q93C,Q94,Q95,Q95OTHER,Q96,Q96OTHER,Q97,ENDTIME,LENGTH,LENGTH_INT,Q100,Q101,Q101OTHER,Q102,Q102OTHER,Q103,Q104,Q105,Q106A,Q106B,Q106C,Q106D,Q106E,Q107,Q109A,Q109B,Q109C,Q109D,Q109E,Q109F,Q111,Q112,Q113,Q114,Q115,Q115OTHER,Q116,Q116OTHER,Q117,Q118_1,Q118_2,Q118_3,Q118_4,Q118OTHER,withinwt_ea,withinwt_hh
CBZ0069,1,1780,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,2,1,1,2023-06-21,09:28:00,23,2,,1,3,5,4,4,0,2,0,0,1,2,2,0,2,4,3,1,1,0,0,0,0,0,0,0,1,0,3,3,2,3,3,1,1,1,4,1,4,2,4,2,2,2,3,1,4,4,1,1,1,2,2,4,1,1,3,3,1,0,0,3,2,2,2,1,3,1,0,0,2,2,2,2,3,2,3,2,2,2,2,2,2,0,0,1,0,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,3,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,2,4,4,4,3,3,PROBLÈMES DE L'EMPLOIE,8,AUGMENTATION DES PRIX DES ALIMENTS,4,LES CONDITIONS DE VIE,3,1,3,3,1,2,3,3,3,1,2,3,3,3,2,1,1,3,2,2,2,0,1,3,4,4,4,1,1,4,1,3,3,2,2,1,4,2,4,2,2,1,1,2,2,0,1,6,1,3,1,2,1,2,4,4,4,2,2,0,1,3,2,0,7,7,7,7,7,7,7,7,1,3,2,2,3,4,4,2,2,4,0,4,0,4,4,2,1,1,0,3,4,4,3,3,5,0,7,3,4,4,3,4,4,4,2,2,4,4,4,3,3,3,4,3,1,,1785,,0,4,1,1,4,1,0,3,0,0,0,0,3,3,3,3,3,3,5,0,9997,,0,2,0,0,1,2,1,4,4,1,1,1,1,4,1,1,,1,8,9,,1780,,1,11:16:00,108,0,2,1,,2,,1,1,1,0,0,0,0,0,4,1,1,1,1,1,2,CBZ12,30,2,2,2,,9990,,8,2,1780,1781,9996,,0.9263662530789,0.435937060272424
CBZ0070,1,1780,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,2,1,1,2023-06-21,09:56:00,28,2,,1,3,3,3,3,1,2,2,2,3,2,2,2,3,3,3,4,4,1,3,0,0,0,0,0,0,0,0,1,2,3,4,1,4,1,4,1,4,4,4,2,2,2,1,1,4,4,4,1,4,1,1,4,1,1,3,3,2,2,1,3,1,2,2,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0,1,0,2,0,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,0,7,7,7,0,7,7,7,7,7,7,7,1,3,3,1,0,7,7,0,7,2,4,3,3,3,3,CHÔMAGE,23,SÉCURITÉ,14,ÉDUCATION,2,2,2,1,1,1,2,3,3,2,1,2,2,3,3,2,3,3,2,2,2,3,3,3,4,4,4,4,3,5,3,2,2,2,4,3,4,2,2,1,5,5,5,2,2,0,1,1,2,2,2,2,2,2,4,4,4,1,4,0,3,3,4,1,2,4,4,3,2,2,2,3,1,4,4,4,3,3,4,4,4,4,3,3,2,2,4,1,1,1,1,3,3,3,3,3,3,1,0,0,1,1,2,2,4,4,4,2,4,4,4,3,3,1,3,3,1,,1781,,0,5,1,1,4,3,2,3,0,2,2,2,5,5,1,4,4,5,5,0,9997,,0,2,0,2,1,2,1,4,4,2,1,1,1,4,1,2,,1,7,13,,9997,,7,11:09:00,74,0,2,1,,2,,1,8,2,0,0,0,0,0,4,1,1,1,1,1,1,CBZ14,29,1,2,1780,,1787,,8,2,1780,1781,9996,,0.9263662530789,0.435937060272424
CBZ0071,1,1780,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,5,1,3,9997,9997,9997,1,1,1,2023-06-21,10:23:00,24,2,,1,2,1,3,3,2,3,2,2,2,3,1,1,1,4,4,1,2,1,0,0,0,0,0,0,0,0,3,2,0,3,4,2,1,2,4,1,3,2,5,1,1,4,3,1,2,1,1,1,3,4,1,4,1,1,2,3,2,2,1,2,3,3,0,0,2,2,0,2,0,0,0,0,1,0,3,0,0,0,1,0,3,2,3,2,0,0,1,3,1,2,1,2,2,2,3,1,1,1,2,1,3,1,0,7,7,7,0,7,7,7,7,7,7,7,1,2,0,0,0,7,7,0,7,1,5,3,5,1,14,ÉDUCATION,23,INSÉCURITÉ,3,EMPLOI,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,2,3,2,2,1,1,1,1,5,5,4,3,2,5,3,2,3,4,4,2,3,1,2,2,5,5,5,2,1,1,7,97,4,1,0,2,1,1,1,1,1,2,2,1,1,3,4,1,2,5,4,2,3,3,3,3,4,1,4,5,1,1,5,5,1,2,4,4,3,4,4,5,0,0,0,2,5,1,1,4,1,0,7,1,3,1,1,1,2,5,2,5,5,5,5,3,1,5,4,1,6,,1787,,1,3,0,1,5,3,1,3,1,2,1,1,5,5,1,5,4,5,4,1,1790,,0,0,0,2,2,2,1,4,4,95,3,2,1,4,1,7,,1,7,1,,1790,,3,12:45:00,141,0,1,1,,2,,1,1,1,0,0,0,0,0,4,1,1,1,1,1,1,CBZ22,41,2,2,1780,,9990,,8,2,1780,1781,9996,,0.999111578474053,0.242208867508861
CBZ0072,1,1780,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,1,2,1,2023-06-21,10:59:00,30,2,,1,4,1,2,3,0,3,3,2,2,3,3,0,2,4,4,1,1,1,2,0,0,0,0,0,2,2,3,3,0,3,4,1,1,1,4,1,4,2,5,1,4,1,3,1,4,1,1,1,1,4,1,4,3,2,3,3,2,2,2,2,2,2,2,1,2,1,1,1,0,0,0,2,2,2,1,0,0,0,0,0,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,7,7,7,1,3,0,2,2,2,2,2,1,4,0,1,1,2,0,0,7,3,3,3,3,3,17,EAU,20,SANTE,2,SALAIRES ET REVENUS,1,1,1,1,1,1,3,3,1,1,1,1,1,3,3,1,1,3,2,2,2,0,1,1,5,5,4,3,3,5,3,2,2,1,4,3,1,1,1,1,5,5,5,1,1,0,1,6,1,1,0,0,0,1,5,5,5,1,5,0,1,1,1,1,5,5,5,1,1,1,1,1,1,1,3,5,2,5,4,4,4,4,4,4,4,4,4,5,1,0,0,3,5,5,5,4,1,0,7,3,1,1,1,5,4,4,2,1,1,5,5,4,2,1,4,3,6,,1785,,0,5,1,1,5,3,1,3,1,1,1,1,3,4,1,3,3,5,5,0,9997,,2,2,2,2,2,2,1,4,4,2,2,2,1,4,1,0,,1,5,1,,1780,,1,12:38:00,99,0,1,1,,2,,1,1,1,0,0,0,0,0,4,2,2,2,2,2,2,CBZ13,30,1,2,2,,1787,,8,2,1780,1781,9996,,0.9263662530789,0.871874120544847
CBZ0073,1,1780,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,5,1,3,9997,9997,9997,2,2,1,2023-06-21,11:05:00,18,1780,,1,1,1,1,5,3,3,3,3,3,3,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,1,1,1,1,4,5,1,5,5,5,3,4,4,4,1,4,1,4,1,4,2,1,3,5,3,3,2,3,2,2,2,0,1,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,2,2,3,0,3,3,0,2,3,1,0,1,0,3,3,0,1,1,3,1,1,0,7,7,7,1,1,3,3,3,3,3,3,0,7,7,7,0,7,7,0,7,1,4,4,5,4,3,TRAVAIL,13,ROUTE,15,MAISON,1,1,3,1,1,1,1,3,3,1,4,3,1,3,3,3,4,4,1,1,1,3,2,1,5,5,3,1,1,5,1,3,3,4,4,1,4,1,1,4,5,5,5,1,1,1,7,97,4,4,3,3,3,1,5,5,5,3,4,1,1,1,1,0,7,7,7,7,7,7,7,7,4,1,3,1,1,5,5,5,5,1,0,0,0,0,0,2,1,1,1,3,2,2,2,2,4,0,7,0,1,1,1,5,5,5,5,5,5,5,5,3,2,1,1,2,3,,1787,,2,5,1,1,5,1,0,0,3,0,0,3,5,5,1,5,5,2,1,0,9997,,1,1,1,0,0,2,0,4,1,3,3,3,0,7,0,1,,4,4,3,,1781,,1,13:06:00,121,0,2,1,,2,,1,1,3,0,0,0,0,0,4,1,1,2,1,1,1,CBZ20,31,2,1,2,,1792,,6,2,1780,1781,9996,,0.999111578474053,0.484417735017723
CBZ0074,1,1780,1,1,1,1,1,0,1,0,0,9,1,0,1,0,0,0,0,0,1,1,6,9997,9997,9997,1,4,1,2023-06-21,11:13:00,18,2,,1,2,3,2,3,2,2,3,1,2,1,0,2,2,3,3,1,1,0,1,0,0,0,0,0,1,0,1,3,2,2,4,2,1,4,4,1,4,4,5,1,2,2,3,1,3,3,2,2,2,4,1,3,2,2,2,3,1,1,1,2,2,2,0,1,2,1,0,2,1,0,0,1,2,2,2,1,1,2,2,0,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,3,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,2,3,4,4,3,3,CHÔMAGE,1,ÉCONOMIE,20,CENTRE SANTÉ,1,1,1,2,1,3,1,2,2,2,2,3,3,3,2,1,2,2,2,2,2,3,3,3,4,4,4,3,2,4,3,2,1,3,3,3,2,3,4,4,5,5,5,2,1,0,1,6,2,2,1,1,1,1,4,4,2,2,4,1,1,2,1,1,4,2,5,4,3,3,3,3,3,2,5,5,1,5,4,4,4,4,3,4,2,4,4,4,0,0,1,3,4,3,3,3,5,0,7,3,2,2,1,4,4,4,4,5,5,5,1,2,1,5,3,3,1,,1786,,1,5,0,1,4,1,1,3,2,2,2,2,2,4,1,3,3,4,4,1,1781,,1,1,0,0,1,2,1,4,4,2,3,3,1,4,0,1,,4,4,0,,1781,,1,12:53:00,101,0,1,1,,2,,1,1,1,0,0,0,0,0,4,1,1,1,1,1,1,CBZ18,41,1,2,2,,1790,,6,2,1780,1781,9996,,1.14232893784576,1.2184842003688101
CBZ0075,1,1780,1,1,1,1,1,0,1,0,0,9,1,0,1,0,0,0,0,0,1,1,6,9997,9997,9997,1,3,1,2023-06-21,11:13:00,53,2,,2,4,4,3,3,0,1,1,1,1,2,3,1,2,2,2,1,1,1,1,0,0,0,1,0,2,1,3,3,1,2,4,1,1,4,4,1,4,4,4,2,2,2,1,1,4,1,1,1,4,4,1,4,3,2,3,3,2,1,1,2,2,2,1,1,1,0,0,0,1,1,0,1,1,1,8,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,7,7,7,1,3,0,1,1,1,3,3,0,7,7,7,0,7,7,0,7,2,2,2,2,3,13,LA CANALISATION,16,ÉLECTRICITÉ,17,DE L'EAU POTABLE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,2,0,1,4,4,3,2,1,2,5,1,1,3,2,4,4,2,3,1,5,5,5,2,2,1,7,97,2,2,1,1,1,2,2,4,4,3,2,0,1,3,3,1,2,4,4,1,2,3,3,3,4,1,2,4,1,3,4,4,4,4,1,3,0,2,1,2,1,1,1,3,5,5,5,5,5,0,7,2,1,2,2,4,4,2,4,2,4,4,4,2,4,1,3,2,1,,1787,,1,5,0,1,4,2,1,3,2,1,2,2,3,3,3,3,3,3,5,0,9997,,2,2,2,0,2,2,1,3,1,2,2,2,1,2,2,5,,3,7,15,,1780,,1,12:55:00,102,0,1,1,,2,,1,1,3,0,0,0,0,0,3,1,1,1,2,1,1,CBZ15,23,1,2,2,,1787,,7,2,1780,1781,9996,,1.14232893784576,0.913863150276608
CBZ0076,1,1780,1,1,1,1,1,0,1,0,0,9,1,0,1,0,0,0,0,0,1,1,6,9997,9997,9997,2,4,1,2023-06-21,11:17:00,25,2,,9,2,3,2,1,3,4,4,4,4,3,3,0,1,3,3,0,0,3,0,0,0,0,0,0,9,9,0,4,1,2,2,1,2,3,3,4,2,1,4,5,5,5,3,3,1,2,2,2,2,2,1,4,3,3,2,3,2,9,9,3,2,3,2,1,0,2,9,2,0,2,1,0,1,2,3,3,9,9,3,1,1,1,2,0,1,2,2,2,0,2,1,3,3,3,0,2,2,2,2,1,5,0,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,1,3,3,3,2,17,EAU,23,INSÉCURITÉ,16,ÉLECTRICITÉ,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,0,0,2,2,2,1,2,1,1,3,2,2,1,2,1,2,1,1,1,5,4,2,2,0,1,2,1,1,1,1,1,2,2,2,2,9,4,0,4,4,1,1,4,1,2,2,3,3,2,1,1,1,1,5,2,5,2,2,2,2,1,4,2,0,4,2,0,1,1,3,5,3,1,2,5,0,7,0,3,5,2,1,1,1,1,2,4,4,4,2,1,4,4,4,2,,1786,,0,5,1,1,5,3,3,3,2,2,1,1,5,5,1,3,3,5,5,0,9997,,0,2,0,2,2,2,1,4,3,4,3,2,1,2,1,1,,2,8,12,,1790,,1,12:47:00,90,0,2,1,,2,,1,1,1,0,0,0,0,0,4,1,1,1,1,1,2,CBZ16,25,1,1,2,,1787,,8,2,1780,1781,9996,,1.14232893784576,1.2184842003688101
CBZ0077,1,1780,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,2,2,1,2023-06-21,11:20:00,24,2,,1,1,2,2,2,3,3,2,3,3,3,3,1,3,4,3,1,4,0,1,2,1,0,0,0,1,1,3,4,0,3,4,2,2,3,3,2,3,2,2,2,2,2,1,2,3,3,2,2,4,4,3,3,3,3,4,3,2,0,1,2,1,2,1,2,1,1,0,1,1,1,1,1,2,2,3,2,2,2,2,1,1,2,3,3,0,2,2,1,2,2,1,2,2,1,3,2,1,2,0,2,2,1,0,7,7,7,1,3,1,3,3,2,2,1,1,1,2,2,0,7,7,1,0,2,4,3,4,2,32,LA REDUCTION ET STABILISATION DES PRIX DES DENRÉES ALIMENTAIRE,20,AMÉLIORER LA QUALITÉ DES INFRASTRUCTURE DE SANTÉ ET L'ACCUEILLE DES PATIENTS,3,LA CRÉATION DES EMPLOIS DANS TOUS LES DOMAINES SOCIALE,2,2,1,3,2,2,2,3,2,2,3,4,2,4,3,2,2,3,3,2,3,1,1,1,4,5,4,2,2,4,5,1,3,3,2,3,2,3,4,3,4,4,4,2,1,1,7,97,3,3,2,3,1,2,2,3,1,1,2,0,2,4,2,1,4,5,2,4,3,3,2,3,2,2,4,4,1,5,4,2,4,4,4,2,0,0,4,4,1,1,0,2,4,4,4,3,2,1,2,3,3,4,3,4,4,5,4,4,4,4,2,3,4,3,4,3,1,,1780,,0,3,1,1,4,2,3,3,3,2,2,2,4,5,1,5,5,5,4,0,9997,,2,0,0,0,0,2,1,4,3,2,3,2,1,4,1,2,,3,7,32,,1780,,1,12:54:00,94,0,2,1,,2,,1,1,1,0,0,0,0,0,4,1,1,1,2,1,1,CBZ11,28,1,2,1780,,9990,,8,2,1780,1781,9996,,0.9263662530789,0.871874120544847
CBZ0078,1,1780,1,1,1,1,1,0,1,0,0,9,1,0,1,0,0,0,0,0,1,1,6,9997,9997,9997,1,1,1,2023-06-21,11:21:00,27,2,,2,4,4,2,2,0,3,1,1,2,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,2,2,3,4,1,2,4,1,1,4,1,1,1,1,1,2,2,2,3,1,1,1,2,4,1,2,1,1,2,3,3,3,2,2,2,3,3,2,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,2,0,1,1,1,1,1,2,1,1,0,1,1,1,2,1,0,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,1,4,4,2,3,29,LA DÉMOCRATIE,18,PRENDRE SOINS DES ORPHELINS ET ENFANTS DE LA RUE,3,LE CHÔMAGE DU PEUPLE,1,1,1,2,2,1,2,3,3,1,2,1,2,1,1,1,2,1,2,2,1,3,3,3,2,1,1,2,1,2,2,2,3,1,1,2,1,3,2,2,1,1,2,2,2,0,1,2,1,1,3,2,3,2,1,2,1,1,1,0,2,2,2,0,7,7,7,7,7,7,7,7,1,2,3,4,3,3,2,1,2,1,3,4,0,0,0,1,1,1,1,2,4,1,1,4,2,1,0,1,1,1,2,2,1,2,1,1,4,4,1,1,3,1,1,1,3,,1786,,3,5,1,1,4,3,2,3,1,1,3,2,4,4,1,4,1,5,5,0,9997,,2,2,0,0,0,1,7,4,0,2,3,2,1,2,1,0,,1,5,2,,9997,,10,12:50:00,89,0,1,1,,2,,1,1,1,0,0,0,0,0,4,1,1,2,1,1,1,CBZ17,28,1,2,2,,1787,,8,2,1780,9996,9996,,1.14232893784576,0.304621050092203
CBZ0079,1,1780,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,5,3,5,9997,9997,9997,2,3,1,2023-06-21,11:22:00,39,1781,,2,3,2,3,3,0,2,2,1,2,1,2,1,2,1,2,1,3,4,1,2,1,2,1,2,3,2,1,2,1,3,1,2,4,4,3,3,1,2,4,2,4,2,2,2,3,3,3,2,3,2,2,3,2,2,1,3,3,1,3,2,3,2,1,1,2,0,1,0,0,1,0,1,2,1,1,0,1,0,2,0,2,1,2,3,1,3,1,1,2,1,2,2,1,2,1,0,1,1,1,2,3,1,1,3,2,1,1,2,1,0,0,1,1,0,0,7,7,7,0,7,7,0,7,2,3,3,5,2,23,LA CRIMINALITÉ,20,LA CONSTRUCTION DES HÔPITAUX,24,LA CORRUPTION,2,2,3,3,2,3,3,2,2,2,3,2,3,2,2,1,2,3,3,3,3,3,3,3,2,3,1,2,1,4,4,3,2,3,4,1,1,1,2,3,5,5,5,2,2,0,1,12,1,2,3,1,2,3,1,2,1,2,4,0,4,1,2,0,7,7,7,7,7,7,7,7,4,2,1,2,3,4,2,4,2,4,3,2,0,0,0,2,0,1,1,2,5,3,1,3,4,0,7,2,2,4,1,4,1,4,1,2,4,2,4,3,4,4,2,3,5,,1787,,1,4,1,1,4,1,1,3,1,1,0,1,2,3,3,3,3,3,4,0,9997,,2,2,0,1,1,2,0,4,1,2,2,2,1,3,0,2,,1,0,3,,1790,,7,12:21:00,59,0,2,1,,1780,,2,1,1,0,0,0,0,0,4,1,2,2,3,2,1,CBZ24,25,1,1,1780,,1786,,8,2,1780,1781,9996,,0.904769984602215,0.987021801384234
CBZ0080,1,1780,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,5,1,3,9997,9997,9997,1,4,1,2023-06-21,11:23:00,25,2,,1,1,2,3,3,2,3,3,3,4,3,2,1,2,4,1,2,3,0,2,1,0,0,1,0,1,1,3,2,2,2,4,4,1,3,1,2,3,2,4,1,2,2,3,1,4,3,2,2,4,3,1,3,1,1,2,2,0,2,1,1,2,2,0,0,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,3,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,1,2,2,2,0,7,7,0,7,3,4,4,4,4,17,LE PROBLÈME D'EAU,16,PROBLÈME DE COURANT,11,PROBLÈME TRANSPORT,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,0,0,2,4,4,4,3,3,5,3,2,2,3,3,3,2,2,1,2,4,2,4,2,2,0,3,97,3,3,3,1,0,3,4,5,4,4,4,1,3,3,1,0,7,7,7,7,7,7,7,7,2,4,2,4,1,4,4,2,4,4,4,4,0,4,4,4,0,1,0,3,2,2,3,4,5,0,7,1,2,2,1,4,4,4,4,4,2,4,4,3,2,1,3,3,1,,1787,,2,3,1,1,5,2,2,3,0,0,3,2,5,2,1,1,2,4,4,0,9997,,2,1,0,0,0,2,1,4,4,2,3,3,1,2,1,1,,1,7,2,,1790,,0,13:30:00,128,0,1,1,,2,,1,8,1,0,0,0,0,0,4,2,3,2,3,3,2,CBZ19,28,1,1,2,,1787,,8,2,1780,1781,9996,,0.999111578474053,0.968835470035445
CBZ0081,1,1780,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,5,3,5,9997,9997,9997,2,1,1,2023-06-21,11:29:00,63,2,,1,4,4,3,2,1,0,1,0,1,0,0,0,2,3,3,3,3,0,2,0,1,0,1,2,0,0,3,2,2,2,4,2,3,1,4,1,4,1,5,2,1,1,3,1,3,1,1,1,1,4,2,3,2,2,1,3,3,2,1,3,2,3,1,1,2,1,0,0,0,0,0,0,1,0,3,1,0,0,1,1,1,1,3,1,3,3,1,3,2,2,1,1,2,3,3,1,1,2,1,2,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,1,0,3,4,4,3,2,11,TRANSPORTS,23,SÉCURITÉ,7,AGRICULTURE,3,2,1,2,1,3,3,3,2,1,3,3,1,2,2,1,2,2,3,1,3,0,2,1,2,2,4,1,2,1,3,3,3,3,4,2,1,2,3,3,4,2,4,2,2,0,2,6,2,2,2,2,3,2,2,2,2,1,5,1,3,2,3,0,7,7,7,7,7,7,7,7,3,3,4,5,3,5,2,2,1,2,4,3,1,4,4,4,1,1,1,3,4,4,3,4,3,0,7,1,4,4,2,4,4,2,5,5,2,2,2,2,3,3,3,2,2,,1787,,1,5,0,1,5,3,1,3,2,2,2,2,3,3,2,4,4,5,5,0,9997,,2,2,1,0,2,2,0,4,0,2,2,2,1,2,2,8,,3,5,2,,1781,,1,12:30:00,61,0,2,1,,2,,1,8,1,0,0,0,0,0,4,1,2,1,2,2,1,CBZ25,25,1,2,1781,,1787,,8,2,1780,1781,9996,,0.904769984602215,0.329007267128078
CBZ0082,1,1780,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,5,5,9997,9997,9997,1,4,1,2023-06-21,11:37:00,19,2,,1,2,4,3,3,1,2,0,0,3,3,2,0,1,4,3,1,2,0,0,0,0,0,0,0,1,1,0,1,2,3,4,2,1,1,3,2,3,2,4,2,2,2,3,4,4,1,1,1,1,4,1,4,1,1,1,3,1,3,2,3,2,2,1,1,3,1,0,0,2,1,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,3,2,2,2,3,2,2,2,2,1,1,3,0,0,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,2,5,4,5,2,3,DIMINUER LE TAUX CHÔMAGE,23,LA DÉLINQUANCE DES JEUNES,17,PROBLÈMES D'EAU,1,1,1,3,1,2,2,3,2,1,1,2,3,3,2,1,3,2,2,2,2,1,1,3,4,4,4,1,1,4,3,2,3,2,3,1,4,1,3,3,1,1,1,2,2,0,3,97,2,2,0,1,1,1,2,4,4,1,2,0,1,3,2,0,7,7,7,7,7,7,7,7,1,3,2,4,1,5,4,2,2,2,0,4,0,2,2,2,1,1,1,3,5,5,3,3,1,0,7,0,3,2,1,4,4,4,2,4,4,4,4,3,4,1,3,2,1,,1785,,1,5,0,1,4,2,1,1,0,0,1,1,3,3,1,4,3,3,5,0,9997,,1,2,1,1,1,2,1,4,4,1,1,1,1,3,0,1,,5,5,0,,9997,,1,13:03:00,87,0,1,1,,2,,1,1,1,0,0,0,0,0,4,1,1,1,1,1,1,CBZ12,30,2,2,2,,9990,,8,2,1780,1781,9996,,0.9263662530789,1.74374824108969
